epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0938,3.2485,5.80069,3.89802,0.41163,0.03573,0.00397,0.00084,2.91045,10.0913,3.77671,0.000368977,0.000368977,0.000368977
2,108.897,2.75926,4.67083,3.04586,0.08397,0.0599,0.02039,0.00463,2.60325,7.42749,2.9888,0.000731991,0.000731991,0.000731991
3,158.964,2.49974,4.04916,2.7774,0.25335,0.08876,0.04313,0.01264,2.28732,3.98293,2.62591,0.00108767,0.00108767,0.00108767
4,209.166,2.32257,3.74027,2.62603,0.1694,0.14826,0.09676,0.02993,2.28312,3.83202,2.59225,0.001078,0.001078,0.001078
5,259.602,2.25613,3.53201,2.5461,0.18424,0.15422,0.09807,0.03175,2.08992,3.253,2.40279,0.001067,0.001067,0.001067
6,310.054,2.24036,3.43315,2.48522,0.18935,0.13059,0.08664,0.02815,2.13746,3.42786,2.44606,0.00105601,0.00105601,0.00105601
7,360.27,2.14131,3.31265,2.41338,0.14203,0.19565,0.10793,0.03906,2.11486,3.10888,2.43695,0.00104501,0.00104501,0.00104501
8,410.64,2.11342,3.24466,2.40647,0.18817,0.30007,0.14761,0.04952,2.02813,3.59361,2.43445,0.00103401,0.00103401,0.00103401
9,460.905,2.07117,3.14347,2.34734,0.21225,0.27318,0.20541,0.07768,1.935,2.8699,2.32897,0.00102301,0.00102301,0.00102301
10,511.375,2.08387,3.16704,2.34626,0.29857,0.36185,0.23049,0.08247,1.93491,2.91644,2.26982,0.00101201,0.00101201,0.00101201
11,562.057,2.03561,3.08063,2.32666,0.2643,0.3169,0.22075,0.0875,1.84285,2.76127,2.25232,0.00100101,0.00100101,0.00100101
12,612.428,2.0246,3.01575,2.29408,0.33995,0.34698,0.24429,0.09483,1.88258,2.66349,2.24958,0.000990012,0.000990012,0.000990012
13,663.063,1.98703,2.95428,2.25882,0.30688,0.32888,0.25872,0.10341,1.85987,2.64381,2.22064,0.000979013,0.000979013,0.000979013
14,713.373,1.99274,2.91951,2.26975,0.3334,0.27414,0.22074,0.08272,1.88052,2.75982,2.24576,0.000968014,0.000968014,0.000968014
15,763.329,1.95634,2.91101,2.22967,0.34207,0.38039,0.2957,0.12505,1.85123,2.48478,2.23055,0.000957015,0.000957015,0.000957015
